Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;>220 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,178;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion passagers;>220 sièges, 1000-3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;0,977;Transport de marchandises ; Aérien ; Avion passager ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;>220 sièges, 1000-3500 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,0977;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion passagers;>220 sièges, >3500 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;1,52;Transport de marchandises ; Aérien ; Avion passager ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;>220 sièges, >3500 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,152;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion passagers;>220 sièges, >3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;0,83;Transport de marchandises ; Aérien ; Avion passager ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;>220 sièges, >3500 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,0831;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité ;220 sièges : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion passagers;Court courrier, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;2,59;Transport de marchandises ; Aérien ; Avion passager ; Court, Moyen, Long courrier :Valeurs moyennes;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;Court courrier, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,259;Transport de personnes ; Aérien ; Court, Moyen, Long courrier :Valeurs moyennes;;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;Court courrier, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,42;Transport de marchandises ; Aérien ; Avion passager ; Court, Moyen, Long courrier :Valeurs moyennes;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;Court courrier, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,142;Transport de personnes ; Aérien ; Court, Moyen, Long courrier :Valeurs moyennes;;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;Long courrier, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;1,51;Transport de marchandises ; Aérien ; Avion passager ; Court, Moyen, Long courrier :Valeurs moyennes;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;Long courrier, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,152;Transport de personnes ; Aérien ; Court, Moyen, Long courrier :Valeurs moyennes;;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;Long courrier, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;0,832;Transport de marchandises ; Aérien ; Avion passager ; Court, Moyen, Long courrier :Valeurs moyennes;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;Long courrier, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,0833;Transport de personnes ; Aérien ; Court, Moyen, Long courrier :Valeurs moyennes;;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;Moyen courrier, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;1,87;Transport de marchandises ; Aérien ; Avion passager ; Court, Moyen, Long courrier :Valeurs moyennes;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;Moyen courrier, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,187;Transport de personnes ; Aérien ; Court, Moyen, Long courrier :Valeurs moyennes;;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;Moyen courrier, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,03;Transport de marchandises ; Aérien ; Avion passager ; Court, Moyen, Long courrier :Valeurs moyennes;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;Moyen courrier, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,103;Transport de personnes ; Aérien ; Court, Moyen, Long courrier :Valeurs moyennes;;
élément non décomposé;Poste 10;Baies de disques;;;informatique,baie informatique;kgCO2e/appareil;Monde;40;15,5;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Baladeurs numériques;non-tactiles;;informatique,numérique,Baladeurs numériques,Audio;kgCO2e/unité;France continentale;50;1,98;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Baladeurs numériques;tactiles;;informatique,numérique,Baladeurs numériques,Audio;kgCO2e/unité;France continentale;50;7,2;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Ballon électrique chauffe-eau 200L;;;equipement,Ballon électrique,chauffe-eau;kgCO2e/unité;France continentale;50;160;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Barre de son;;;informatique,numérique,Audio,Barre de son;kgCO2e/unité;France continentale;30;40,2;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 12;Bateau automoteur;1 000 à 1499 TPL;;bateau;kgCO2e/t.km;France continentale;70;0,0298;Transport de marchandises ; Fluvial ; Bateau automoteur;;
élément décomposé par poste;Poste 12;Bateau automoteur;1 500 à 2 999 TPL;;bateau;kgCO2e/t.km;France continentale;70;0,0194;Transport de marchandises ; Fluvial ; Bateau automoteur;;
élément décomposé par poste;Poste 12;Bateau automoteur;400 à 649 TPL;;bateau;kgCO2e/t.km;France continentale;70;0,0359;Transport de marchandises ; Fluvial ; Bateau automoteur;;
élément décomposé par poste;Poste 12;Bateau automoteur;650 à 999 TPL;;bateau;kgCO2e/t.km;France continentale;70;0,0258;Transport de marchandises ; Fluvial ; Bateau automoteur;;
élément décomposé par poste;Poste 12;Bateau automoteur;< 400 TPL;;bateau;kgCO2e/t.km;France continentale;70;0,033;Transport de marchandises ; Fluvial ; Bateau automoteur;;
élément décomposé par poste;Poste 12;Bateau automoteur;> 3 000 TPL;;bateau;kgCO2e/t.km;France continentale;70;0,0139;Transport de marchandises ; Fluvial ; Bateau automoteur;;
élément décomposé par poste;Poste 12;Bateau pousseur;< 880 kW;;bateau;kgCO2e/t.km;France continentale;70;0,0326;Transport de marchandises ; Fluvial ; Bateau pousseur;;
élément décomposé par poste;Poste 12;Bateau pousseur;> 880 kW;;bateau;kgCO2e/t.km;France continentale;70;9,10E-03;Transport de marchandises ; Fluvial ; Bateau pousseur;;
élément non décomposé;Poste 10;Bâtiment agricole;structure en béton;;Bâtiment,Bâtiment agricole;kgCO2e/m²;France continentale;50;656;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Bâtiment agricole;structure métallique;;Bâtiment,Bâtiment agricole;kgCO2e/m²;France continentale;50;220;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Bâtiment industriel;structure en béton;;Bâtiment,Bâtiment industriel;kgCO2e/m²;France continentale;50;825;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Bâtiment industriel;structure métallique;;Bâtiment,Bâtiment industriel;kgCO2e/m²;France continentale;50;275;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Bâtiments de bureaux ;;;Bâtiment,bureaux;kgCO2e/m² SHON;France continentale;50;650;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 9;Bentonite, kaolin;/;/;viticulture,bentonite,kaolin;kgCO2e/tonne;France continentale;50;1100;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Béton;:C25/30CEM II;/;matériaux de construction,béton;kgCO2e/tonne;France continentale;20;88;Achats de biens ; Produits minéraux non métalliques ; Ciment, chaux, plâtre, béton;;
élément non décomposé;Poste 9;Béton armé;/;/;matériaux de construction,béton;kgCO2e/tonne;France continentale;20;155;Achats de biens ; Produits minéraux non métalliques ; Ciment, chaux, plâtre, béton;;
élément non décomposé;Poste 9;Béton armé continu;routier;/;matériaux de construction,béton,route,enrobés routiers;kgCO2e/tonne;France continentale;20;200;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Béton de ciment;routier;/;matériaux de construction,béton,route,enrobés routiers;kgCO2e/tonne;France continentale;20;134;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Bisulfite de potassium;/;/;viticulture,bisulfite de potassium;kgCO2e/tonne;France continentale;50;1470;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par gaz;Poste 9;Bois courte durée de vie :ameublement...;/;fabrication;bois;kgCO2e/tonne;France continentale;50;36,7;Achats de biens ; Bois;;;
élément décomposé par gaz;Poste 9;Bois d'oeuvre :construction;/;:si replanté, amont;bois,bois d'œuvre;kgCO2e/tonne;France continentale;20;36,7;Achats de biens ; Bois;;;
élément décomposé par gaz;Poste 9;Bois d'oeuvre :construction;/;fabrication;bois;kgCO2e/tonne;France continentale;50;36,7;Achats de biens ; Bois;;;
élément décomposé par poste et par gaz;Poste 10;Bouilloire;;;Cuisine,equipement,Bouilloire;kgCO2e/unité;France continentale;50;9,91;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par gaz;Poste 10;Câble électrique externe;alimentation principale, conducteur cuivre, isolation PE et gaine PVC;;base IMPACT,câble électrique;kgCO2e/m;Monde;;0,38;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par gaz;Poste 10;Câble électrique interne;alimentation, conducteur cuivre, isolation PE;;base IMPACT,câble électrique;kgCO2e/m;Monde;;0,0742;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par gaz;Poste 10;Câble électrique interne;signal, conducteur cuivre, isolation PE;;base IMPACT,câble électrique;kgCO2e/m;Monde;;0,0216;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par poste;Poste 10;Cadran photo;numérique;;informatique,numérique,Cadran photo;kgCO2e/unité;France continentale;50;40,2;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Cadre de lit;;;mobilier,equipement,Cadre de lit;kgCO2e/unité;France continentale;30;115;Achats de biens ; Mobilier;;;
élément décomposé par poste et par gaz;Poste 12;Camion porteur;45 m3;;déménagement,camion,fret;kgCO2e/m3.km;France continentale;70;0,0543;Transport de marchandises ; Routier ; Par usage ; Déménagement;
élément non décomposé;Poste 9;Canalisations PVC;/;/;matériaux de construction,PVC,canalisation;kgCO2e/mL;France continentale;10;2,47;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément décomposé par poste et par gaz;Poste 10;Canapé;convertible;;mobilier,equipement,Canapé,convertible;kgCO2e/unité;France continentale;15;198;Achats de biens ; Mobilier;;;
élément décomposé par poste et par gaz;Poste 10;Canapé;cuir;;cuir,mobilier,equipement,Canapé;kgCO2e/unité;France continentale;15;182;Achats de biens ; Mobilier;;;
élément décomposé par poste et par gaz;Poste 10;Canapé;textile;;mobilier,equipement,Textile,Canapé;kgCO2e/unité;France continentale;15;179;Achats de biens ; Mobilier;;;
élément non décomposé;Poste 9;Carbonate de calcium;/;/;viticulture,carbonate de calcium;kgCO2e/tonne;France continentale;50;75;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par poste;Poste 12;Cargo;10 000 à 20 000 tonnes;HFO-MGO;bateau,cargo,fret;kgCO2e/t.km;France continentale;60;0,0132;Transport de marchandises ; Maritime ; Cargo;;
élément décomposé par poste;Poste 12;Cargo;< 10 000 tonnes;HFO-MGO;bateau,cargo,fret;kgCO2e/t.km;France continentale;60;0,0191;Transport de marchandises ; Maritime ; Cargo;;
élément décomposé par poste et par gaz;Poste 12;Cargo inter-îles;Mayotte-Anjouan;Donnée 2009;bateau,cargo,fret;kgCO2e/t.km;France continentale;20;1,59;Transport de marchandises ; Maritime ; DOM COM;;
élément décomposé par poste et par gaz;Poste 12;Cargo inter-îles;Petit Terre-Grande Terre;Donnée 2009;bateau,cargo,fret;kgCO2e/t.km;France continentale;20;2,64;Transport de marchandises ; Maritime ; DOM COM;;
élément décomposé par poste et par gaz;Poste 12;Cargo inter-îles;Polynésie;Donnée 2009;bateau,cargo,fret;kgCO2e/t.km;France continentale;20;0,137;Transport de marchandises ; Maritime ; DOM COM;;
élément non décomposé;Poste 9;Carton;/;neuf;Carton;kgCO2e/tonne;France continentale;20;390;Achats de biens ; Papier, carton;;;
élément non décomposé;Poste 9;Carton;/;recyclé;Carton;kgCO2e/tonne;France continentale;20;670;Achats de biens ; Papier, carton;;;
élément non décomposé;Poste 9;Cartouche jet d'encre Noir et Blanc  re-conditionnée;/;/;fourniture de bureau,Imprimante,cartouche d'encre;kgCO2e/100 feuilles A4;Monde;100;0,042;Achats de biens ; Autres produits manufacturés ; Consommables de bureau;;
élément non décomposé;Poste 9;Cartouche toner couleur :CMY re-conditionnée;/;/;fourniture de bureau,Imprimante,cartouche d'encre;kgCO2e/100 feuilles A4;Monde;100;0,2;Achats de biens ; Autres produits manufacturés ; Consommables de bureau;;
élément non décomposé;Poste 9;Cartouche toner Noir et Blanc re-conditionnée;/;/;fourniture de bureau,Imprimante,cartouche d'encre;kgCO2e/100 feuilles A4;Monde;100;0,23;Achats de biens ; Autres produits manufacturés ; Consommables de bureau;;
élément non décomposé;Poste 10;Centre de loisir;structure en béton;;Bâtiment,Centre de loisir;kgCO2e/m²;France continentale;50;506;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément non décomposé;Poste 10;Centre de loisir;structure métallique;;Bâtiment,Centre de loisir;kgCO2e/m²;France continentale;50;169;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Bâtiments;;
élément décomposé par poste et par gaz;Poste 10;Chaise;bois;;bois,mobilier,Chaise,equipement;kgCO2e/unité;France continentale;10;18,6;Achats de biens ; Mobilier;;;
